Branch Code,GSTIN,Branch Address
324,2XXXXXXXXXXXXXL,"VOLTAS COMPOUND, UNIT 6,,,
											POKHRAN,ROAD NO.2,THANE WEST, ,
											THANE WEST,MAHARASHTRA,400601"
58,2XXXXXXXXXXXXXL,"TRDDC,54, HADAPSAR,
											INDUSTRIAL ESTATE, PUNE, MAHARASHTRA ,
											PUNE,MAHARASHTRA,411013"
252,2XXXXXXXXXXXXXK,"UNIT 801.901,1001,A-WING,KENSINGTON,,
											FESTUS PROPERTIES P LTD,SEZ,HIRANANDANI BUSINESS PARK, POWAI ,
											MUMBAI,MAHARASHTRA,400076"
306,3XXXXXXXXXXXXXP,"TCS LTD. - UNIT 1, TCS - SEZ, 1/G1,,,
											SIPCOT IT PARK, SIRUSERI, NAVALUR EPO ,
											CHENNAI,TAMIL NADU,603103"
368,2XXXXXXXXXXXXXL,"215, GRD FLOOR, NEAR WATER TANK,,,
											PO LAXMI NAGAR WEST, ,
											NAGPUR,MAHARASHTRA,440022"
425,2XXXXXXXXXXXXXL,"Wing A-1,2,3 7 and 8th  flr, Wing B- 2nd, 3rd, 8th flr, TRIL IT4,
											Infinity IT Park, Gen AK Vaidya Marg, Dindoshi Malad East ,
											Mumbai,MAHARASHTRA,400097"
148,1XXXXXXXXXXXXXI,"PLOT B-1, BLOCK EP, SECTOR 5, SALT LAKE,
											ELECTRONICS COMPLEX KOLKATA, ,
											KOLKATA,WEST BENGAL,700091"
432,0XXXXXXXXXXXXXH,"DEVELOPER IT/ITES SEZ, PLOT NO 1,,SECTOR-157,,
											GAUTAM BUDDHA NAGAR ,
											NOIDA,UTTAR PRADESH,201310"
339,3XXXXXXXXXXXXXP,"9TH FLR., BLOCK-9A & 9B,DLF IT PARK,1/124,,
											SHIVAJI GARDENS, MOONLIGHT STOP N POST RMP ROAD ,
											CHENNAI,TAMIL NADU,600089"
319,1XXXXXXXXXXXXXI,"ECOSPACE NEWTOWN, BLDG 1A, IIF/12,,,
											NEW TOWN, RAJARHAT, NORTH 24 PARAGANAS ,
											KOLKATA,WEST BENGAL,700160"
303,2XXXXXXXXXXXXXH,"VYDEHI RC-1 BLOCK,,
											82, EPIP, WHITEFIELD, ,
											BANGALORE,KARNATAKA,560066"
270,2XXXXXXXXXXXXXR,"GRD. FLR.RAMESHWAR BUILDING,,
											OM,BUSINESS PARK,OPP. BALAJI HOSPITAL ELLORA PARK ,
											ELLORA PARK SUBHANPURA,GUJARAT,390023"
178,2XXXXXXXXXXXXXL,"PLANT NO.12, GODREJ & BOYCE,,
											PIROJSHA NAGAR, VIKHROLI WEST ,
											MUMBAI,MAHARASHTRA,400079"
231,2XXXXXXXXXXXXXH,"UNIT 8, SY.NO.42P & 45P, KONAPPAN,,
											AGRAHARA,ELECTRONICS CITY PHASE-II ,
											BANGALORE,KARNATAKA,560100"
335,3XXXXXXXXXXXXXR,"4TH and 6TH FLR, MANGAL TIRTH EST,,
											SPENCER PLAZA, 769, ANNAI SALAI, ,
											CHENNAI,TAMIL NADU,600017"
320,2XXXXXXXXXXXXXL,"BLK NO.402,501,601 & 701 BLDG NO.7,,
											COMMERZONE-PHASE-II, SUR.NO.144 &1 YERWADA ,
											PUNE,MAHARASHTRA,411006"
312,1XXXXXXXXXXXXXK,"5TH FLR, NEDFI HOUSE,,
											G. S. ROAD,, DISPUR, ,
											GUWAHATI,ASSAM,781006"
438,3XXXXXXXXXXXXXP,"UNIT 1-PL H-11/1B, H-11/1C & H-11/2,,
											SIPCOT IT PARK SIRUSERI, EGATTUR VILLAGE, ,
											Egattur Village,TAMIL NADU,603103"
229,2XXXXXXXXXXXXXK,"UNIT 115, 125, 128, SDF IV,,
											79, 80 SDF III, 164 SDF VI, SEEPZ SEZ, ANDHERI E, ,
											MUMBAI,MAHARASHTRA,400096"
426,1XXXXXXXXXXXXXG,"IT/ITES SEZ UNIT-II PLOT NO -II F/3, ACTION AREA-II,,
											NEW TOWN, RAJARHAT ,
											Kolkata,WEST BENGAL,700160"
179,1XXXXXXXXXXXXXI,"GLOBAL DEVP. CENTRE GDC,PLOT-C,,BLOCK-EP,,
											SEC-V, SALT LAKE ELECT. COMPLEX KOLKATA,WEST ,
											KOLKATA,WEST BENGAL,700091"
406,2XXXXXXXXXXXXXR,"UNIT 1, 2, 3 & 4 ON 10TH, 11TH & 12TH FLR,,
											GIFT TWO TWR, BLDG NO 56A, RD 5C, ZN GIFT CITY, ,
											GIFT CITY,GUJARAT,382355"
337,0XXXXXXXXXXXXXO,"TOWER-A, 2ND FLR., BLDG. NO.6,,W-BLOCK,,
											DLF PHASE-III, ,
											GURGAON,HARYANA,122002"
345,1XXXXXXXXXXXXXG,"IT/ITES SEZ, IT PLOT NO.IIF/3,,
											IOIN AREA-II,  NEW TOWN, ,
											KOLKATA,WEST BENGAL,700160"
201,2XXXXXXXXXXXXXL,"ELCTRONIC SADAN-3, 2ND FLR,,,
											BOSARI ,
											PUNE,MAHARASHTRA,411026"
183,3XXXXXXXXXXXXXR,"NO.165/1-A,2&4 VELACHERY,
											TARAMANI,100 FEET ROAD, UNIT V, ,
											CHENNAI,TAMIL NADU,600042"
145,1XXXXXXXXXXXXXI,"SDF BUILDING, 3RD FLOOR, BIDHAN NAGAR,,
											SALT LAKE ELECTRONICS COMPLEX, BL ,
											KOLKATTA,WEST BENGAL,700091"
59,3XXXXXXXXXXXXXU,"TECHNOPARK CAMPUS, KARIYAVATTOM,
											P.O.THIRUVANANTHAPURAM, (BODHI PARK - CLC) ,
											THIRUVANANTHAPURAM,KERALA,695581"
168,2XXXXXXXXXXXXXH,"II, EXPLORER BLDG. ITPL,10TH & 11TH FLR,,
											BANGALORE ,
											BANGALORE,KARNATAKA,560006"
288,3XXXXXXXXXXXXXL,"SEZ UNIT III AT SYNERGY PARK PREMISES,
											NO. 2-56/1/36, SY NO. 26, GACHIBOWLI SERLINGAMPALLY MANDAL ,
											R R DIST TELANGANA HYDERABAD,TELANGANA,500032"
51,2XXXXXXXXXXXXXK,"PLOT NO. 64 ODC,,,
											SEEPZ ANDHERI EAST, MAHARASHTRA ,
											ANDHERI EAST,MAHARASHTRA,400096"
414,2XXXXXXXXXXXXXR,"SEZ UNIT, SCHEME NO 151 & 169-B,,SUPER CORRIDOR,,
											VILLAGE TIGARIYA BADA BANGARDA ,
											BADA BANGARDA TEHSIL HATOD,MADHYA PRADESH,453112"
167,3XXXXXXXXXXXXXM,"DECCAN PARK, PLOT NO.1, SUR NO. 64/2,,
											SOFTWARE UNITS LAYOUT, SERLINGAMPALLY MANDAL ,
											MADHAPUR HYDERABAD,TELANGANA,500081"
286,3XXXXXXXXXXXXXM,"STP UNIT AT 2 C1 & 2 C2, R & D BLDG.,
											CMC CENTRE, GACHIBOWLI, HYDERABAD, ,
											HYDERABAD,TELANGANA,500032"
316,3XXXXXXXXXXXXXJ,"DEVELOPER, SY. NO. 255 PART, ADIBATLA VILLAGE,,
											IBRAHIMPATNAM MANDAL, RANGA REDDY ,
											TELANGANA HYDERABAD,TELANGANA,501510"
398,2XXXXXXXXXXXXXG,"UNIT V, GR FLR, 3RD TO 13TH FLOOR,,
											VICTOR BUILDING MTB-3, ITPL SEZ,WHITEFIELD ROAD ,
											BANGALORE,KARNATAKA,560066"
318,3XXXXXXXXXXXXXL,"SEZ UNIT IV, ODC-4, PREMISES NO. 2-56/, 1/36, SY NO 26,,
											GACHIBOWLI, SERILINGAMPALLY MANDAL ,
											HYDERABAD,TELANGANA,500032"
422,3XXXXXXXXXXXXXL,"SDB4 BLOCK, SURVEY 255 PART, ADIBATLA VILLAGE,,
											IBRAHIMPATNAM MANDAL R R DISTRICT, ,
											TELANGANA,TELANGANA,501510"
298,1XXXXXXXXXXXXXG,"UNITECH HI-TECH STRUCTURES LTD, IT/,ITES SEZ,
											BLOCK-G,3,4,5,6TH FLR,TOWER GIII NEW TOWN ,
											NEW TOWN,WEST BENGAL,700160"
166,2XXXXXXXXXXXXXL,"SUREN ROAD, GUNDAVLI,,
											ANDHERI EAST, ,
											MUMBAI,MAHARASHTRA,400093"
228,2XXXXXXXXXXXXXW,"CO-DEVELOPER IT/ITES, SEZ, PLOT NO.35, CHANDAKA INDL. EST,,
											CHANDRASEKHARPUR  BHUBANESWAR ,
											BHUBANESWAR,ODISHA,751024"
336,3XXXXXXXXXXXXXR,"TEK TOWER, 5TH TO 7TH FLR., NO.11,,
											RAJIV GANDHI SALAI, OLD MAHABALIPURAM ROAD OKKIUM ,
											CHENNAI,TAMIL NADU,600096"
295,2XXXXXXXXXXXXXX,"AUM BUILDING, PLOT NO 457/1952/4557, PLOT NO.153,,
											GAYATRI VIHAR, PATCHANDRASHEKHARPUR ,
											BHUBANESHWAR,ODISHA,751024"
436,3XXXXXXXXXXXXXR,"UNIT 2, BLK B, PODIUM, 1 TO 5 FLRS,,
											ELECTRONICS TECH PARK SEZ 1, ,
											Kariavottam P O,KERALA,695581"
151,3XXXXXXXXXXXXXR,"185/188, LLOYDS ROAD,
											 ,
											CHENNAI,TAMIL NADU,600008"
56,2XXXXXXXXXXXXXL,"THANE RECORD ROOM, PLOT A-69/70,,,
											ROAD NO. 22, WAGLE INDUSTRIAL ESTATE ,
											THANE,MAHARASHTRA,400605"
434,3XXXXXXXXXXXXXR,"(Unit III), TCS Centre,  Block B 1st to 10th Floors,,
											Infopark SEZ, Kakkanad, ,
											Kochi,KERALA,682042"
408,2XXXXXXXXXXXXXV,"MM SILVER PLAZA, 3RD FLOOR,,
											RING ROAD NO 01, OPP UDYOG BHAWAN, ,
											RAIPUR,CHHATTISGARH,492001"
428,3XXXXXXXXXXXXXP,"PLOTS H-11/1B & H11/2 SIPCOT,,
											IT PARK SIRUSERI ,
											KANCHIPURAM,TAMIL NADU,603103"
343,3XXXXXXXXXXXXXL,"SEZ UNIT 1, BLOCK SDB1, SY. NO. 255,,
											ADIBATLA VILLAGE, IBRAHIMPATNAM MANDAL ,
											R R DIST HYDERABAD,TELANGANA,501510"
235,3XXXXXXXXXXXXXP,"CHENNAI ONE,SEZ UNIT1,IG3 INFRA LTD,,
											SEZ 200FT,THORAIPAKAM-PALAVARAMRING RD ,
											THORAIPAKKAM,TAMIL NADU,600097"
121,2XXXXXXXXXXXXXR,"801 & 1001, SAKAR II,,
											OFF, ASHRAM R O ELLIS BRIDGE, ,
											AHMEDABAD,GUJARAT,380006"
327,2XXXXXXXXXXXXXS,"IT/ITES/KPO/BPO-SEZ SCHEME NO.151 & 169/B,,
											SUPER CORRIDOR, TIGRIYA BADSHAH HATOD ,
											HATOD INDORE,MADHYA PRADESH,453112"
340,3XXXXXXXXXXXXXP,"7TH FLR,BLOCK-V, DLF IT PARK,1/124,,,
											SHIVAJI GARDENS, MOONLIGHT,STO PNPO RMP ROAD ,
											CHENNAI,TAMIL NADU,600089"
26,3XXXXXXXXXXXXXR,"21, INDUSTRIAL ESTATE,AMBATTUR CHENNAI,TAMIL NADU,
											AMBATTUR CHENNAI, TAMIL NADU ,
											CHENNAI,TAMIL NADU,600058"
53,2XXXXXXXXXXXXXK,"UNIT 61/64, SDF II,,
											,SEEPZ ANDHERI EAST, MAHARASHTRA ,
											ANDHERI EAST,MAHARASHTRA,400096"
221,2XXXXXXXXXXXXXL,"AKRUTI TRADE CENTRE, ROAD NO.7,,
											MIDC, ANDHERI EAST, ,
											MUMBAI,MAHARASHTRA,400093"
354,2XXXXXXXXXXXXXG,"GOPALAN ENT.PVT.LTD GLOBAL AXIS, SEZ UNIT-IV,,
											BLOCK-H, NO.152 EPIP ZONE WHITEFIELD ,
											WHITEFIELD BANGALORE,KARNATAKA,560066"
413,0XXXXXXXXXXXXXJ,"SIDDHA COMP, MUN NO D63 12B, D63 12B,1-12 BK A1,,
											MAUZA TULSIPUR, PLT 173 PARGANA ,
											PARGANA DEHAT AMANAT,UTTAR PRADESH,221010"
244,2XXXXXXXXXXXXXG,"PIONEER BULDING INTERNATIONAL TECH PK,,
											PATANDHUR AGARHARA, WHITEFIELD ,
											BANGALOARE,KARNATAKA,560066"
213,3XXXXXXXXXXXXXX,"H.NO.65 A/5, NEAR CIVIL COURT,,
											ALTINO MAPUSA, ,
											GOA,GOA,403507"
357,3XXXXXXXXXXXXXS,"CO-DEVELOPER - IT/ITES SEZ, ,INFOPARK CAMPUS,,
											KUSUMAGIRI, P O KAKKANAD  KOCHI, ,
											KOCHI,KERALA,682030"
250,3XXXXXXXXXXXXXR,"(Unit I), TCS Centre, Block B 11th to 13th Floors,,
											Infopark SEZ, Kakkanad, ,
											KOCHI,KERALA,682042"
388,3XXXXXXXXXXXXXK,"DEVELOPER, SYNERGY PARK,SURVEY NO. 26,,
											GACHIBOWLI, HYDERABAD, TELANGANA ,
											HYDERABAD,TELANGANA,500032"
347,3XXXXXXXXXXXXXY,"BLOCK NO.A, PLOT NO.5A, 5B & 5C,,,
											TIVIM INDL. EST., KARASWADA, MAPUSA, ,
											MAPUSA,GOA,403526"
225,2XXXXXXXXXXXXXH,"DHARA BLDG, SALARPURIA GR TECH PARK,,
											NO 69/3 & 69/4, MAHADEVAPURA K.R.PURAM ,
											WHITEFIELD BANGALORE,KARNATAKA,560066"
33,0XXXXXXXXXXXXXJ,"D4, SECTOR 3,,SECTOR THREE,
											NOIDA, UTTAR PRADESH ,
											NOIDA,UTTAR PRADESH,201301"
153,2XXXXXXXXXXXXXH,"INTERNATIONAL TECH PARK,DISCOVERER,
											,BLDG,UPPER GR.FLR & 1ST FLR, WHITE ,
											FIELD RD BANGALORE,KARNATAKA,560066"
338,1XXXXXXXXXXXXXG,"8TH & 9TH FLR., BLOCK A1 & A2,,,
											NEWTOWN, RAJARHAT, ,
											KOLKATA,WEST BENGAL,700160"
164,2XXXXXXXXXXXXXL,"OFFICE NO. 4, 1ST FLR, GODREJ MILLENIUM,,
											9, KOREGAON PARK, ,
											PUNE,MAHARASHTRA,411001"
430,2XXXXXXXXXXXXXH,"UNIT VII CREATOR - UGF/LGF - 2, 3 & 4 FLRS,,
											DISCOVERER-3 & 6 FLRS INNOVATOR-UGF & FLR ITPL ,
											Whitefield Bangalore,KARNATAKA,560066"
214,2XXXXXXXXXXXXXH,"DISCOVERER BLDG,4TH FLR,,
											WHITEFIELD, ,
											BANGALORE,KARNATAKA,560066"
293,1XXXXXXXXXXXXXH,"PLOT IIF/3, ACTION AREA-II,,,
											NEWTOWN, KOLKATA, ,
											KOLKATA,WEST BENGAL,700160"
424,2XXXXXXXXXXXXXJ,"CO-DEVELOPER PLOT 1, SECTOR 12,,,
											MIHAN SEZ, NAGPUR ,
											Nagpur,MAHARASHTRA,441108"
254,2XXXXXXXXXXXXXK,"MIDC-SEZ, PLOT NO.2, 3,RAJIV GANDHI,INFOTECH PARK,,
											HINJEWADI, PHASE-II ,
											PUNE,MAHARASHTRA,411057"
246,0XXXXXXXXXXXXXN,"4TH & 5TH FLOOR, PTI BUILDING,,,
											4, PARLIAMENT STREET, ,
											NEW DELHI,DELHI,110001"
317,1XXXXXXXXXXXXXI,"ECOSPACE NEWTOWN BUILDING,1B,IIF/12,,
											NEW TOWN,RAJARHAT NORTH 24,PARAGANAS ,
											KOLKATA,WEST BENGAL,700160"
264,2XXXXXXXXXXXXXK,"GR, 1ST TO 8TH FLOOR , B WING, KENS,INGTON,,
											FESTUS PROPERTIES PVT. LTD SEZ HIRANANDANI BUSINESS PARK ,
											POWAI,MAHARASHTRA,400076"
266,3XXXXXXXXXXXXXR,"HDFC HOUSE, 29/4, 29/5 KAMARAJ ROAD,
											COIMBATORE, ,
											COIMBATORE,TAMIL NADU,641018"
175,2XXXXXXXXXXXXXH,"UNIT-IV ABHILASH SOFTWARE DEVP.,CENTRE,PLOT 96,,
											EPIP INDL.AREA,WHITEFIELD ,
											WHITEFIELD BANGALORE,KARNATAKA,560066"
344,3XXXXXXXXXXXXXP,"TCSL DLF CHENNAI SEZ UNIT-2,BLOCK-3,9TH FLR.,,
											DLF IT PARK 1/124 MP RO MANAPAKKAM ,
											CHENNAI,TAMIL NADU,600089"
296,3XXXXXXXXXXXXXR,"(Unit -II), TCS Centre , Block A, Ground to 13th Floors,,
											Block B Ground Floor, Infopark SEZ, Kakkanad, ,
											Kochi,KERALA,682042"
299,2XXXXXXXXXXXXXR,"GR FLR-PART, ALEMBIC BUSINESS PARK,, R.S.,
											NO. 1093/1, VILLAGE GORWA, BHAILAAMIN MARG ,
											VADODARA,GUJARAT,390003"
